PassengerId,Survived,Pclass,Name,SibSp,Parch,Ticket,Cabin,Age_scaled,Fare_scaled,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Embarked_nan
1,0,3,"Braund, Mr. Owen Harris",1,0,A/5 21171,,-0.5303766406838785,-0.5024451714361923,0.0,1.0,0.0,0.0,1.0,0.0
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,0,PC 17599,C85,0.571830994003175,0.7868452935884461,1.0,0.0,1.0,0.0,0.0,0.0
3,1,3,"Heikkinen, Miss. Laina",0,0,STON/O2. 3101282,,-0.25482473201211503,-0.4888542575852486,1.0,0.0,0.0,0.0,1.0,0.0
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,0,113803,C123,0.36516706249935255,0.4207302360686478,1.0,0.0,0.0,0.0,1.0,0.0
5,0,3,"Allen, Mr. William Henry",0,0,373450,,0.36516706249935255,-0.4863374216869257,0.0,1.0,0.0,0.0,1.0,0.0
6,0,3,"Moran, Mr. James",0,0,330877,,,-0.47811642890864375,0.0,1.0,0.0,1.0,0.0,0.0
7,0,1,"McCarthy, Mr. Timothy J",0,0,17463,E46,1.6740386286902287,0.395813560675251,0.0,1.0,0.0,0.0,1.0,0.0
8,0,3,"Palsson, Master. Gosta Leonard",3,1,349909,,-1.9081361840426954,-0.22408312108167944,0.0,1.0,0.0,0.0,1.0,0.0
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",0,2,347742,,-0.1859367548441742,-0.4242561406845337,1.0,0.0,0.0,0.0,1.0,0.0
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,0,237736,,-1.0814804580274051,-0.04295550208861426,1.0,0.0,1.0,0.0,0.0,0.0
11,1,3,"Sandstrom, Miss. Marguerite Rut",1,1,PP 9549,G6,-1.7703602297068137,-0.312172377522981,1.0,0.0,0.0,0.0,1.0,0.0
12,1,1,"Bonnell, Miss. Elizabeth",0,0,113783,C103,1.949590537361992,-0.11384570873513637,1.0,0.0,0.0,0.0,1.0,0.0
13,0,3,"Saundercock, Mr. William Henry",0,0,A/5. 2151,,-0.6681525950197601,-0.4863374216869257,0.0,1.0,0.0,0.0,1.0,0.0
14,0,3,"Andersson, Mr. Anders Johan",1,5,347082,,0.6407189711711159,-0.01870931177853076,0.0,1.0,0.0,0.0,1.0,0.0
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",0,0,350406,,-1.0814804580274051,-0.4902797934380587,1.0,0.0,0.0,0.0,1.0,0.0
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",0,0,248706,,1.7429266058581694,-0.3262666585535892,1.0,0.0,0.0,0.0,1.0,0.0
17,0,3,"Rice, Master. Eugene",4,1,382652,,-1.9081361840426954,-0.06199888922968463,0.0,1.0,0.0,1.0,0.0,0.0
18,1,2,"Williams, Mr. Charles Eugene",0,0,244373,,,-0.3866707201133388,0.0,1.0,0.0,0.0,1.0,0.0
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,0,345763,,0.08961515382758917,-0.2859972841804228,1.0,0.0,0.0,0.0,1.0,0.0
20,1,3,"Masselmani, Mrs. Fatima",0,0,2649,,,-0.5029485386158568,1.0,0.0,1.0,0.0,0.0,0.0
21,0,2,"Fynney, Mr. Joseph J",0,0,239865,,0.36516706249935255,-0.12491978668775715,0.0,1.0,0.0,0.0,1.0,0.0
22,1,2,"Beesley, Mr. Lawrence",0,0,248698,D56,0.2962790853314117,-0.3866707201133388,0.0,1.0,0.0,0.0,1.0,0.0
23,1,3,"McGowan, Miss. Anna ""Annie""",0,0,330923,,-1.0125924808594644,-0.4867562231804066,1.0,0.0,0.0,1.0,0.0,0.0
24,1,1,"Sloper, Mr. William Thompson",0,0,113788,A6,-0.11704877767623337,0.06635974158478332,0.0,1.0,0.0,0.0,1.0,0.0
25,0,3,"Palsson, Miss. Torborg Danira",3,1,349909,,-1.4948083210350502,-0.22408312108167944,1.0,0.0,0.0,0.0,1.0,0.0
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,5,347077,,0.571830994003175,-0.016444159470040135,1.0,0.0,0.0,0.0,1.0,0.0
27,0,3,"Emir, Mr. Farred Chehab",0,0,2631,,,-0.5029485386158568,0.0,1.0,1.0,0.0,0.0,0.0
28,0,1,"Fortune, Mr. Charles Alexander",3,2,19950,C23 C25 C27,-0.7370405721877009,4.647001076532463,0.0,1.0,0.0,0.0,1.0,0.0
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",0,0,330959,,,-0.48977642625839407,1.0,0.0,0.0,1.0,0.0,0.0
30,0,3,"Todoroff, Mr. Lalio",0,0,349216,,,-0.4894421904510968,0.0,1.0,0.0,0.0,1.0,0.0
31,0,1,"Uruchurtu, Don. Manuel E",0,0,PC 17601,,0.7096069483390568,-0.09027201697708476,0.0,1.0,1.0,0.0,0.0,0.0
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,0,PC 17569,B78,,2.301728820789,1.0,0.0,1.0,0.0,0.0,0.0
33,1,3,"Glynn, Miss. Mary Agatha",0,0,335677,,,-0.49237782784290063,1.0,0.0,0.0,1.0,0.0,0.0
34,0,2,"Wheadon, Mr. Edward H",0,0,C.A. 24579,,2.500694354705519,-0.43700743807979686,0.0,1.0,0.0,0.0,1.0,0.0
35,0,1,"Meyer, Mr. Edgar Joseph",1,0,PC 17604,,-0.11704877767623337,1.0060617003323709,0.0,1.0,1.0,0.0,0.0,0.0
36,0,1,"Holverson, Mr. Alexander Oskar",1,0,113789,,0.8473829026749384,0.39858208016340624,0.0,1.0,0.0,0.0,1.0,0.0
37,1,3,"Mamee, Mr. Hanna",0,0,2677,,,-0.5028639729296732,0.0,1.0,1.0,0.0,0.0,0.0
38,0,3,"Cann, Mr. Ernest Charles",0,0,A./5. 2152,,-0.5992646178518193,-0.4863374216869257,0.0,1.0,0.0,0.0,1.0,0.0
39,0,3,"Vander Planke, Miss. Augusta Maria",2,0,345764,,-0.8059285493556418,-0.2859972841804228,1.0,0.0,0.0,0.0,1.0,0.0
40,1,3,"Nicola-Yarred, Miss. Jamila",1,0,2651,,-1.0814804580274051,-0.42207354059350805,1.0,0.0,1.0,0.0,0.0,0.0
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,0,7546,,0.7096069483390568,-0.4576454924460446,1.0,0.0,0.0,0.0,1.0,0.0
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",1,0,11668,,-0.1859367548441742,-0.22559322262067316,1.0,0.0,0.0,0.0,1.0,0.0
43,0,3,"Kraeff, Mr. Theodor",0,0,349253,,,-0.4894421904510968,0.0,1.0,1.0,0.0,0.0,0.0
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",1,2,SC/Paris 2123,,-1.8392482068747544,0.18876253192945994,1.0,0.0,1.0,0.0,0.0,0.0
45,1,3,"Devaney, Miss. Margaret Delia",0,0,330958,,-0.7370405721877009,-0.48977642625839407,1.0,0.0,0.0,1.0,0.0,0.0
46,0,3,"Rogers, Mr. William John",0,0,S.C./A.4. 23567,,,-0.4863374216869257,0.0,1.0,0.0,0.0,1.0,0.0
47,0,3,"Lennon, Mr. Denis",1,0,370371,,,-0.3363340021468808,0.0,1.0,0.0,1.0,0.0,0.0
48,1,3,"O'Driscoll, Miss. Bridget",0,0,14311,,,-0.49237782784290063,1.0,0.0,0.0,1.0,0.0,0.0
49,0,3,"Samaan, Mr. Youssef",2,0,2662,,,-0.21191774308354583,0.0,1.0,1.0,0.0,0.0,0.0
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1,0,349237,,-0.8059285493556418,-0.29002422161773944,1.0,0.0,0.0,0.0,1.0,0.0
51,0,3,"Panula, Master. Juha Niilo",4,1,3101295,,-1.5636962982029912,0.1506737441786005,0.0,1.0,0.0,0.0,1.0,0.0
52,0,3,"Nosworthy, Mr. Richard Cater",0,0,A/4. 39886,,-0.5992646178518193,-0.4913710934835715,0.0,1.0,0.0,0.0,1.0,0.0
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,0,PC 17572,D33,1.3295987428505243,0.8964967865378598,1.0,0.0,1.0,0.0,0.0,0.0
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,0,2926,,-0.04816080050829252,-0.12491978668775715,1.0,0.0,0.0,0.0,1.0,0.0
55,0,1,"Ostby, Mr. Engelhart Cornelius",0,1,113509,B30,2.431806377537578,0.5995101505357573,0.0,1.0,1.0,0.0,0.0,0.0
56,1,1,"Woolner, Mr. Hugh",0,0,19947,C52,,0.06635974158478332,0.0,1.0,0.0,0.0,1.0,0.0
57,1,2,"Rugg, Miss. Emily",0,0,C.A. 31026,,-0.5992646178518193,-0.43700743807979686,1.0,0.0,0.0,0.0,1.0,0.0
58,0,3,"Novel, Mr. Mansouer",0,0,2697,,-0.08260478909226295,-0.5028639729296732,0.0,1.0,1.0,0.0,0.0,0.0
59,1,2,"West, Miss. Constance Mirium",1,2,C.A. 34651,,-1.7014722525388728,-0.08968408411123653,1.0,0.0,0.0,0.0,1.0,0.0
60,0,3,"Goodwin, Master. William Frederick",5,2,CA 2144,,-1.2881443895312277,0.2958951755118318,0.0,1.0,0.0,0.0,1.0,0.0
61,0,3,"Sirayanian, Mr. Orsen",0,0,2669,,-0.5303766406838785,-0.5028639729296732,0.0,1.0,1.0,0.0,0.0,0.0
62,1,1,"Icard, Miss. Amelie",0,0,113572,B28,0.571830994003175,0.962353321387736,1.0,0.0,0.0,0.0,0.0,1.0
63,0,1,"Harris, Mr. Henry Birkhardt",1,0,36973,C83,1.054046834178761,1.0323213593611125,0.0,1.0,0.0,0.0,1.0,0.0
64,0,3,"Skoog, Master. Harald",3,2,347088,,-1.7703602297068137,-0.08666388103324908,0.0,1.0,0.0,0.0,1.0,0.0
65,0,1,"Stewart, Mr. Albert A",0,0,PC 17605,,,-0.09027201697708476,0.0,1.0,1.0,0.0,0.0,0.0
66,1,3,"Moubarek, Master. Gerios",1,1,2661,,,-0.3414522396297103,0.0,1.0,1.0,0.0,0.0,0.0
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",0,0,C.A. 29395,F33,-0.04816080050829252,-0.43700743807979686,1.0,0.0,0.0,0.0,1.0,0.0
68,0,3,"Crease, Mr. Ernest James",0,0,S.P. 3464,,-0.7370405721877009,-0.4841568350646187,0.0,1.0,0.0,0.0,1.0,0.0
69,1,3,"Andersson, Miss. Erna Alexandra",4,2,3101281,,-0.8748165265235827,-0.4888542575852486,1.0,0.0,0.0,0.0,1.0,0.0
70,0,3,"Kink, Mr. Vincenz",2,0,315151,,-0.25482473201211503,-0.47400492578514347,0.0,1.0,0.0,0.0,1.0,0.0
71,0,2,"Jenkin, Mr. Stephen Curnow",0,0,C.A. 33111,,0.15850313099553,-0.43700743807979686,0.0,1.0,0.0,0.0,1.0,0.0
72,0,3,"Goodwin, Miss. Lillian Amy",5,2,CA 2144,,-0.9437045036915235,0.2958951755118318,1.0,0.0,0.0,0.0,1.0,0.0
73,0,2,"Hood, Mr. Ambrose Jr",0,0,S.O.C. 14879,,-0.5992646178518193,0.8314778546749452,0.0,1.0,0.0,0.0,1.0,0.0
74,0,3,"Chronopoulos, Mr. Apostolos",1,0,2680,,-0.25482473201211503,-0.3573908580066095,0.0,1.0,1.0,0.0,0.0,0.0
75,1,3,"Bing, Mr. Lee",0,0,1601,,0.15850313099553,0.48910360681684706,0.0,1.0,0.0,0.0,1.0,0.0
76,0,3,"Moen, Mr. Sigurd Hansen",0,0,348123,F G73,-0.3237127091800559,-0.494391296561559,0.0,1.0,0.0,0.0,1.0,0.0
77,0,3,"Staneff, Mr. Ivan",0,0,349208,,,-0.4894421904510968,0.0,1.0,0.0,0.0,1.0,0.0
78,0,3,"Moutal, Mr. Rahamin Haim",0,0,374746,,,-0.4863374216869257,0.0,1.0,0.0,0.0,1.0,0.0
79,1,2,"Caldwell, Master. Alden Gates",0,2,248738,,-1.9887351173291863,-0.06451572512800753,0.0,1.0,0.0,0.0,1.0,0.0
80,1,3,"Dowdell, Miss. Elizabeth",0,0,364516,,0.020727176659648322,-0.397241430886295,1.0,0.0,0.0,0.0,1.0,0.0
81,0,3,"Waelens, Mr. Achille",0,0,345767,,-0.5303766406838785,-0.46720946885967163,0.0,1.0,0.0,0.0,1.0,0.0
82,1,3,"Sheerlinck, Mr. Jan Baptist",0,0,345779,,-0.04816080050829252,-0.45714212526638004,0.0,1.0,0.0,0.0,1.0,0.0
83,1,3,"McDermott, Miss. Brigdet Delia",0,0,330932,,,-0.49162277707340374,1.0,0.0,0.0,1.0,0.0,0.0
84,0,1,"Carrau, Mr. Francisco M",0,0,113059,,-0.11704877767623337,0.29992211294914856,0.0,1.0,0.0,0.0,1.0,0.0
85,1,2,"Ilett, Miss. Bertha",0,0,SO/C 14885,,-0.8748165265235827,-0.43700743807979686,1.0,0.0,0.0,0.0,1.0,0.0
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",3,0,3101278,,0.22739110816347086,-0.32928686163157667,1.0,0.0,0.0,0.0,1.0,0.0
87,0,3,"Ford, Mr. William Neal",1,3,W./C. 6608,,-0.9437045036915235,0.04370821849987721,0.0,1.0,0.0,0.0,1.0,0.0
88,0,3,"Slocovski, Mr. Selman Francis",0,0,SOTON/OQ 392086,,,-0.4863374216869257,0.0,1.0,0.0,0.0,1.0,0.0
89,1,1,"Fortune, Miss. Mabel Helen",3,2,19950,C23 C25 C27,-0.4614886635159376,4.647001076532463,1.0,0.0,0.0,0.0,1.0,0.0
90,0,3,"Celotti, Mr. Francesco",0,0,343275,,-0.3926006863479967,-0.4863374216869257,0.0,1.0,0.0,0.0,1.0,0.0
91,0,3,"Christmann, Mr. Emil",0,0,343276,,-0.04816080050829252,-0.4863374216869257,0.0,1.0,0.0,0.0,1.0,0.0
92,0,3,"Andreasson, Mr. Paul Edvin",0,0,347466,,-0.6681525950197601,-0.4902797934380587,0.0,1.0,0.0,0.0,1.0,0.0
93,0,1,"Chaffee, Mr. Herbert Fuller",1,0,W.E.P. 5734,E31,1.122934811346702,0.5833178351003071,0.0,1.0,0.0,0.0,1.0,0.0
94,0,3,"Dean, Mr. Bertram Frank",1,2,C.A. 2315,,-0.25482473201211503,-0.23415046467497105,0.0,1.0,0.0,0.0,1.0,0.0
95,0,3,"Coxon, Mr. Daniel",0,0,364500,,2.018478514529933,-0.5024451714361923,0.0,1.0,0.0,0.0,1.0,0.0
96,0,3,"Shorney, Mr. Charles Joseph",0,0,374910,,,-0.4863374216869257,0.0,1.0,0.0,0.0,1.0,0.0
97,0,1,"Goldschmidt, Mr. George B",0,0,PC 17754,A5,2.845134240545223,0.0493298231623713,0.0,1.0,1.0,0.0,0.0,0.0
98,1,1,"Greenfield, Mr. William Bertram",0,1,PC 17759,D10 D12,-0.4614886635159376,0.6272778976347743,0.0,1.0,1.0,0.0,0.0,0.0
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",0,1,231919,,0.2962790853314117,-0.18532384824750675,1.0,0.0,0.0,0.0,1.0,0.0
100,0,2,"Kantor, Mr. Sinai",1,0,244367,,0.2962790853314117,-0.12491978668775715,0.0,1.0,0.0,0.0,1.0,0.0
101,0,3,"Petranec, Miss. Matilda",0,0,349245,,-0.11704877767623337,-0.4894421904510968,1.0,0.0,0.0,0.0,1.0,0.0
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",0,0,349215,,,-0.4894421904510968,0.0,1.0,0.0,0.0,1.0,0.0
103,0,1,"White, Mr. Richard Frasar",0,1,35281,D26,-0.5992646178518193,0.907737982394129,0.0,1.0,0.0,0.0,1.0,0.0
104,0,3,"Johansson, Mr. Gustaf Joel",0,0,7540,,0.22739110816347086,-0.4741720436887921,0.0,1.0,0.0,0.0,1.0,0.0
105,0,3,"Gustafsson, Mr. Anders Vilhelm",2,0,3101276,,0.5029430168352342,-0.4888542575852486,0.0,1.0,0.0,0.0,1.0,0.0
106,0,3,"Mionoff, Mr. Stoytcho",0,0,349207,,-0.11704877767623337,-0.4894421904510968,0.0,1.0,0.0,0.0,1.0,0.0
107,1,3,"Salkjelsvik, Miss. Anna Kristine",0,0,343120,,-0.5992646178518193,-0.494391296561559,1.0,0.0,0.0,0.0,1.0,0.0
108,1,3,"Moss, Mr. Albert Johan",0,0,312991,,,-0.4918744606632361,0.0,1.0,0.0,0.0,1.0,0.0
109,0,3,"Rekic, Mr. Tido",0,0,349249,,0.571830994003175,-0.4894421904510968,0.0,1.0,0.0,0.0,1.0,0.0
110,1,3,"Moran, Miss. Bertha",1,0,371110,,,-0.1621689579829361,1.0,0.0,0.0,1.0,0.0,0.0
111,0,1,"Porter, Mr. Walter Chamberlain",0,0,110465,C110,1.1918227885146426,0.39858208016340624,0.0,1.0,0.0,0.0,1.0,0.0
112,0,3,"Zabour, Miss. Hileni",1,0,2665,,-1.0470364694434349,-0.3573908580066095,1.0,0.0,1.0,0.0,0.0,0.0
113,0,3,"Barton, Mr. David John",0,0,324669,,-0.5303766406838785,-0.4863374216869257,0.0,1.0,0.0,0.0,1.0,0.0
114,0,3,"Jussila, Miss. Katriina",1,0,4136,,-0.6681525950197601,-0.4505983519307405,1.0,0.0,0.0,0.0,1.0,0.0
115,0,3,"Attalah, Miss. Malake",0,0,2627,,-0.8748165265235827,-0.3573083057891445,1.0,0.0,1.0,0.0,0.0,0.0
116,0,3,"Pekoniemi, Mr. Edvard",0,0,STON/O 2. 3101294,,-0.5992646178518193,-0.4888542575852486,0.0,1.0,0.0,0.0,1.0,0.0
117,0,3,"Connors, Mr. Patrick",0,0,370369,,2.8106902519612524,-0.49237782784290063,0.0,1.0,0.0,1.0,0.0,0.0
118,0,2,"Turpin, Mr. William John Robert",1,0,11668,,-0.04816080050829252,-0.22559322262067316,0.0,1.0,0.0,0.0,1.0,0.0
119,0,1,"Baxter, Mr. Quigg Edmond",0,1,PC 17558,B58 B60,-0.3926006863479967,4.335332226633905,0.0,1.0,1.0,0.0,0.0,0.0
120,0,3,"Andersson, Miss. Ellis Anna Maria",4,2,347082,,-1.9081361840426954,-0.01870931177853076,1.0,0.0,0.0,0.0,1.0,0.0
121,0,2,"Hickman, Mr. Stanley George",2,0,S.O.C. 14879,,-0.5992646178518193,0.8314778546749452,0.0,1.0,0.0,0.0,1.0,0.0
122,0,3,"Moore, Mr. Leonard Charles",0,0,A4. 54510,,,-0.4863374216869257,0.0,1.0,0.0,0.0,1.0,0.0
123,0,2,"Nasser, Mr. Nicholas",1,0,237736,,0.19294711957950042,-0.04295550208861426,0.0,1.0,1.0,0.0,0.0,0.0
124,1,2,"Webber, Miss. Susan",0,0,27267,E101,0.19294711957950042,-0.3866707201133388,1.0,0.0,0.0,0.0,1.0,0.0
125,0,1,"White, Mr. Percival Wayland",0,1,35281,D26,1.6740386286902287,0.907737982394129,0.0,1.0,0.0,0.0,1.0,0.0
126,1,3,"Nicola-Yarred, Master. Elias",1,0,2651,,-1.219256412363287,-0.42207354059350805,0.0,1.0,1.0,0.0,0.0,0.0
127,0,3,"McMahon, Mr. Martin",0,0,370372,,,-0.49237782784290063,0.0,1.0,0.0,1.0,0.0,0.0
128,1,3,"Madsen, Mr. Fridtjof Arne",0,0,C 17369,,-0.3926006863479967,-0.5046257580584992,0.0,1.0,0.0,0.0,1.0,0.0
129,1,3,"Peter, Miss. Anna",1,1,2668,F E69,,-0.19824427701513722,1.0,0.0,1.0,0.0,0.0,0.0
130,0,3,"Ekstrom, Mr. Johan",0,0,347061,,1.054046834178761,-0.5079822104125026,0.0,1.0,0.0,0.0,1.0,0.0
131,0,3,"Drazenoic, Mr. Jozef",0,0,349241,,0.22739110816347086,-0.4894421904510968,0.0,1.0,1.0,0.0,0.0,0.0
132,0,3,"Coelho, Mr. Domingos Fernandeo",0,0,SOTON/O.Q. 3101307,,-0.6681525950197601,-0.5064721088735089,0.0,1.0,0.0,0.0,1.0,0.0
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",1,0,A/5. 3337,,1.1918227885146426,-0.35646868933346404,1.0,0.0,0.0,0.0,1.0,0.0
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",1,0,228414,,-0.04816080050829252,-0.12491978668775715,1.0,0.0,0.0,0.0,1.0,0.0
135,0,2,"Sobey, Mr. Samuel James Hayden",0,0,C.A. 29178,,-0.3237127091800559,-0.3866707201133388,0.0,1.0,0.0,0.0,1.0,0.0
136,0,2,"Richard, Mr. Emile",0,0,SC/PARIS 2133,,-0.4614886635159376,-0.3454791770670269,0.0,1.0,1.0,0.0,0.0,0.0
137,1,1,"Newsom, Miss. Helen Monypeny",0,2,11752,D47,-0.7370405721877009,-0.11921562980779811,1.0,0.0,0.0,0.0,1.0,0.0
138,0,1,"Futrelle, Mr. Jacques Heath",1,0,113803,C123,0.5029430168352342,0.4207302360686478,0.0,1.0,0.0,0.0,1.0,0.0
139,0,3,"Osen, Mr. Olaf Elon",0,0,7534,,-0.9437045036915235,-0.4628462821463391,0.0,1.0,0.0,0.0,1.0,0.0
140,0,1,"Giglio, Mr. Victor",0,0,PC 17593,B86,-0.3926006863479967,0.9462455716384695,0.0,1.0,1.0,0.0,0.0,0.0
141,0,3,"Boulos, Mrs. Joseph (Sultana)",0,2,2678,,,-0.3414522396297103,1.0,0.0,1.0,0.0,0.0,0.0
142,1,3,"Nysten, Miss. Anna Sofia",0,0,347081,,-0.5303766406838785,-0.49237782784290063,1.0,0.0,0.0,0.0,1.0,0.0
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",1,0,STON/O2. 3101279,,-0.3926006863479967,-0.32928686163157667,1.0,0.0,0.0,0.0,1.0,0.0
144,0,3,"Burke, Mr. Jeremiah",0,0,365222,,-0.7370405721877009,-0.5125125150294839,0.0,1.0,0.0,1.0,0.0,0.0
145,0,2,"Andrew, Mr. Edgardo Samuel",0,0,231945,,-0.8059285493556418,-0.41687275089321363,0.0,1.0,0.0,0.0,1.0,0.0
146,0,2,"Nicholls, Mr. Joseph Charles",1,1,C.A. 33112,,-0.7370405721877009,0.09152810056801232,0.0,1.0,0.0,0.0,1.0,0.0
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",0,0,350043,,-0.1859367548441742,-0.49145565916975514,0.0,1.0,0.0,0.0,1.0,0.0
